,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
66,2,In,0,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,76606.0,122676.64,2018
67,2,In,0,"Shopping Center/General Retail [600,001-800,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,1950.0,38706.52,2018
68,2,In,0,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-42.9,497275.5100000002,2018
69,2,In,0,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,189010.0,0.0,2018
70,2,In,0,Unknown*,Unknown,Unknown,0,-1789261.92,0.0,2018
71,2,In,0,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,530257.0,2089465.8699999999,2018
72,2,Out,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,72.0,0.0,2018
73,2,Out,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,93.78999999999998,247028.68,2018
74,2,Out,0,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,-3493.0,0.0,2018
75,2,Out,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,-17106.0,0.0,2018
76,2,Out,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,2377.0,17976.7,2018
77,2,Out,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,18980.0,15632.03,2018
78,2,Out,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,3273.0,0.0,2018
79,2,Out,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,69.0,74267.19,2018
80,2,Out,0,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,13672.0,60879.36,2018
81,2,Out,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,-78.0,0.0,2018
82,2,Out,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,69.0,125248.02,2018
83,2,Out,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,101.0,14414.88,2018
84,2,Out,0,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,962.0,45714.380000000005,2018
85,2,Out,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-961.0,335505.9200000001,2018
86,2,Out,0,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,116260.0,0.0,2018
87,2,Out,0,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,-835.0,0.0,2018
88,2,Out,0,"General Office Building [400,001-500,000]","OFFICE, MULTI-STORY",Office,sq. ft.,-367.0,0.0,2018
89,2,Out,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-2256.0,0.0,2018
90,2,Out,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,5595.0,4795.9,2018
91,2,Out,0,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,177.0,0.0,2018
92,2,Out,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,32328.0,98274.76,2018
93,2,Out,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,501.0,110554.13,2018
94,2,Out,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,935.0,1429669.4800000002,2018
