,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
2240,3,Out,Collected,0.0,C2019146347-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2241,3,Out,Collected,0.0,C2019146737-0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,99772.91447199999,64289.73717167062,96648.84,-35483.17730032937,-32359.102828329378,2019
2242,3,Out,Collected,0.0,C2019147721-0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,0.0,0.0,0.0,0.0,2019
2243,3,Out,Collected,0.0,C2019148587-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2244,3,Out,Collected,0.0,C2019149978-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9769.627999999999,-9958.276875485148,-17390.78338335609,-188.6488754851489,7432.506507870943,2019
2245,3,Out,Collected,0.0,C2019149978-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,8576.304,7257.727214336635,15266.56338335609,-1318.5767856633647,-8008.836169019454,2019
2246,3,Out,Collected,0.0,C2019152770-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,2019
2247,3,Out,Collected,0.0,C2019159786-0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,218277.0304,254114.6416317974,211439.00999999998,35837.611231797404,42675.63163179741,2019
2248,3,Out,Collected,0.0,C2019163544-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,7375.23072,2644.0883289568064,7144.119999999999,-4731.142391043193,-4500.031671043193,2019
2249,3,Out,Collected,0.0,C2019169440-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,2019
2250,3,Out,Collected,0.0,C2019170633-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2251,3,Out,Collected,0.0,C2019170638-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2252,3,Out,Collected,0.0,C2019170650-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
