,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
1050,2,Out,Collected,0.0,C2018118769-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1051,2,Out,Collected,0.0,C2018119661-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1052,2,Out,Collected,0.0,C2018121067-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1053,2,Out,Collected,0.0,C2018122547-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1054,2,Out,Collected,0.0,C2018123801-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1055,2,Out,Collected,0.0,C2018123966-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1660.259292,589.41,1607.62,52.63929200000007,-1070.8492919999999,-1018.2099999999999,2018
1056,2,Out,Collected,0.0,C2018129124-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1057,2,Out,Collected,0.0,C2018131190-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,21949.19064,7792.2,21253.28,695.9106400000019,-14156.99064,-13461.079999999998,2018
1058,2,Out,Collected,0.0,C2018133329-0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2522.9760659999997,2479.234,2442.98,79.9960659999997,-43.742065999999795,36.253999999999905,2018
1059,2,Out,Collected,0.0,C2018133711-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,8226.256492,2920.41,7965.451356259212,260.8051357407885,-5305.846492000001,-5045.041356259212,2018
